                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.51971,                0.59073,                0.33882,                0.85266,                0.93141,                0.91654,                0.94492,                0.81866,                0.94018,                0.92737,                0.95302,                0.75963,                 0.6447,                0.76017,                 0.4371,                0.95399,               0.000456,               0.000456,               0.000456
                     76,                  0.519,                0.57219,                0.32373,                0.84437,                0.92198,                0.88666,                0.93274,                0.79991,                0.91221,                0.90572,                0.94147,                0.76627,                 0.6388,                0.73271,                0.45689,                0.93554,             0.00045246,             0.00045246,             0.00045246
                     77,                0.53334,                0.58379,                0.33818,                0.85088,                0.85675,                0.80378,                0.89692,                0.76088,                 0.8479,                0.82291,                0.90545,                0.70822,                0.72073,                0.89667,                0.53207,                 1.0139,             0.00044893,             0.00044893,             0.00044893
                     78,                0.50054,                0.57956,                 0.3261,                0.83603,                 0.9122,                0.91468,                0.94201,                0.81075,                 0.9162,                 0.9231,                0.94729,                0.75671,                0.64709,                0.75073,                  0.438,                0.94585,             0.00044539,             0.00044539,             0.00044539
                     79,                0.50787,                0.55462,                0.32211,                0.84452,                 0.9138,                0.91568,                0.94616,                0.81178,                 0.9309,                0.93293,                0.96233,                0.77366,                0.62821,                0.76086,                0.43423,                0.94211,             0.00044186,             0.00044186,             0.00044186
                     80,                0.50083,                0.55869,                0.33658,                0.85484,                0.91853,                0.92158,                0.94302,                0.81634,                0.93127,                 0.9313,                0.95308,                0.76568,                0.64896,                0.75857,                0.43657,                0.96051,             0.00043832,             0.00043832,             0.00043832
                     81,                0.50093,                0.55718,                0.31777,                0.85161,                0.92807,                0.92507,                0.94799,                0.81389,                0.94381,                0.93642,                0.95927,                0.75962,                0.63454,                0.73449,                0.41677,                0.94497,             0.00043479,             0.00043479,             0.00043479
                     82,                0.50674,                0.56127,                0.32503,                0.84063,                0.93275,                0.91132,                0.94414,                0.81959,                0.93875,                0.92555,                0.95827,                0.76422,                0.62471,                0.75487,                0.42132,                0.93348,             0.00043126,             0.00043126,             0.00043126
                     83,                0.49506,                0.53411,                0.31993,                0.84562,                0.92995,                0.92448,                0.94718,                0.82236,                0.93895,                0.93876,                0.95658,                0.77215,                0.61945,                0.74512,                0.41776,                 0.9387,             0.00042772,             0.00042772,             0.00042772
                     84,                0.51205,                0.56755,                0.33021,                0.87241,                0.92649,                0.91351,                0.94611,                0.82034,                0.93784,                0.92615,                0.95943,                0.76558,                0.62969,                0.75106,                0.42476,                0.94418,             0.00042419,             0.00042419,             0.00042419
                     85,                0.51121,                0.56413,                0.32825,                0.83382,                0.92725,                0.90183,                0.94155,                0.81716,                0.93651,                0.91458,                0.95565,                0.76758,                 0.6234,                0.75496,                 0.4252,                0.94925,             0.00042065,             0.00042065,             0.00042065
                     86,                0.47668,                0.53364,                0.30647,                0.83804,                0.91535,                0.89711,                0.93173,                0.80712,                0.92815,                0.92383,                0.94954,                0.75639,                0.62791,                0.77747,                0.42897,                0.94695,             0.00041712,             0.00041712,             0.00041712
                     87,                0.47196,                0.53129,                0.30679,                0.83231,                0.91509,                0.92094,                0.93755,                0.81434,                0.92394,                0.92884,                  0.947,                0.75081,                0.62372,                0.75835,                0.42755,                0.94422,             0.00041358,             0.00041358,             0.00041358
                     88,                0.49337,                0.54049,                0.31417,                0.82907,                0.91514,                0.93352,                0.94868,                0.82416,                0.93269,                0.94803,                 0.9614,                0.76995,                0.62687,                0.74533,                0.40814,                0.94495,             0.00041005,             0.00041005,             0.00041005
                     89,                0.47128,                0.56268,                0.30323,                0.82902,                0.91519,                0.92169,                0.94841,                0.82005,                0.92673,                0.94145,                0.95822,                0.76874,                0.61319,                0.73527,                0.40062,                0.93556,             0.00040652,             0.00040652,             0.00040652
                     90,                0.50105,                0.51883,                0.31519,                0.85223,                0.92757,                0.93317,                0.95285,                0.83136,                0.93898,                 0.9368,                0.96221,                0.78009,                0.61337,                0.73669,                0.40055,                0.94049,             0.00040298,             0.00040298,             0.00040298
                     91,                0.48309,                0.55223,                0.30684,                0.84209,                0.88488,                0.93817,                0.93562,                0.81108,                0.93353,                0.90565,                0.94439,                 0.7656,                0.62879,                0.71107,                0.42192,                0.94134,             0.00039945,             0.00039945,             0.00039945
                     92,                 0.4836,                0.53749,                0.30656,                0.83497,                0.91101,                0.93511,                0.95333,                0.82579,                0.94456,                0.92985,                 0.9632,                0.77266,                0.63123,                0.75941,                0.40337,                0.93849,             0.00039591,             0.00039591,             0.00039591
                     93,                0.46948,                0.54976,                0.29934,                0.82087,                0.93204,                0.92965,                0.95161,                0.82962,                0.95902,                0.93107,                0.96496,                0.78103,                0.62423,                0.72322,                0.40285,                0.94673,             0.00039238,             0.00039238,             0.00039238
                     94,                 0.4923,                0.59518,                0.31857,                0.86289,                0.91607,                0.92726,                0.94794,                0.83523,                0.95297,                0.92561,                0.95959,                0.77348,                0.61097,                0.76616,                 0.4021,                0.93769,             0.00038884,             0.00038884,             0.00038884
                     95,                0.47247,                0.51894,                0.31213,                0.82961,                0.91399,                0.90719,                0.94613,                0.82422,                0.92797,                0.90457,                 0.9492,                0.75524,                0.61524,                0.75821,                0.40602,                0.93501,             0.00038531,             0.00038531,             0.00038531
                     96,                0.47861,                 0.4887,                 0.3059,                0.83614,                0.92981,                0.91849,                0.94504,                  0.823,                0.94026,                0.93486,                0.95569,                0.76609,                 0.6183,                0.75671,                0.41247,                0.94648,             0.00038178,             0.00038178,             0.00038178
                     97,                0.45686,                0.53007,                0.29541,                0.82419,                0.93789,                0.91318,                0.95029,                0.83461,                0.93589,                0.93405,                0.95966,                0.77285,                0.60785,                 0.7105,                0.39825,                0.94091,             0.00037824,             0.00037824,             0.00037824
                     98,                0.46959,                0.50978,                0.30849,                0.83393,                0.92459,                0.93328,                0.94776,                0.82568,                0.94149,                 0.9472,                0.96272,                0.77305,                0.62119,                0.73761,                0.39142,                0.94446,             0.00037471,             0.00037471,             0.00037471
                     99,                0.48048,                0.55876,                0.29999,                0.82877,                 0.9368,                0.92367,                0.95203,                0.83396,                 0.9582,                0.94355,                0.96557,                0.77469,                0.61755,                0.73408,                0.38203,                0.94406,             0.00037117,             0.00037117,             0.00037117
                    100,                0.50765,                0.56949,                0.33219,                0.82167,                0.93899,                0.92756,                0.95406,                0.83097,                0.94992,                0.93305,                 0.9612,                0.77849,                0.61814,                 0.7348,                0.38679,                0.93541,             0.00036764,             0.00036764,             0.00036764
                    101,                0.46983,                0.52128,                0.29025,                0.83915,                0.93798,                0.91992,                 0.9541,                0.83538,                0.94132,                0.94026,                0.96499,                0.77341,                0.61448,                0.74566,                0.38718,                 0.9406,              0.0003641,              0.0003641,              0.0003641
                    102,                0.44985,                0.53578,                0.29581,                0.81988,                0.92187,                0.94164,                0.95258,                 0.8284,                0.93645,                0.94089,                0.96251,                0.77457,                0.63552,                0.76568,                0.39476,                 0.9619,             0.00036057,             0.00036057,             0.00036057
                    103,                0.47509,                0.53766,                0.29146,                0.83822,                0.93377,                0.92416,                 0.9468,                0.83379,                0.94921,                0.93721,                0.96563,                0.77861,                0.61949,                0.75253,                0.39801,                0.95497,             0.00035704,             0.00035704,             0.00035704
                    104,                 0.4534,                0.49949,                0.28283,                0.83457,                0.94336,                0.92115,                0.95387,                0.83364,                 0.9543,                0.93667,                  0.964,                0.77762,                0.62152,                0.73697,                0.38883,                0.95158,              0.0003535,              0.0003535,              0.0003535
